id,treat,treatxpost,imr,month,zip,frq_purchases,qty_purchases,val_purchases
1,0,0,2.95,1,37166,11,31,794.93
2,0,0,2.65,1,11692,15,35,1187.92
3,0,0,2.64,1,34711,15,37,1082.3
4,0,0,2.5,1,1904,21,33,1127.97
5,0,0,2.7,1,19143,23,31,1168.91
6,0,0,2.69,1,39429,11,35,655.13
7,0,0,2.51,1,70726,17,31,926.21
8,0,0,2.6,1,35216,14,37,1166.95
9,0,0,2.6,1,55104,14,36,500.22
10,0,0,2.46,1,85027,18,33,783.6
11,0,0,2.52,1,30019,13,19,861.58
12,0,0,2.61,1,85043,10,19,991.07
13,0,0,2.51,1,87113,14,24,1035.07
14,0,0,2.65,1,35007,16,39,767.28
15,0,0,2.5,1,78664,20,34,1052.25
16,0,0,2.5,1,43068,18,32,945.85
17,0,0,2.54,1,62690,17,38,658.7
18,0,0,2.63,1,44095,15,43,614.4
19,0,0,2.77,1,15202,10,45,994.4
20,0,0,2.47,1,11801,10,33,1033.9
21,0,0,2.54,1,10462,16,32,1150.98
22,0,0,2.5,1,10312,19,42,508.14
23,0,0,3,1,93727,12,45,808.24
24,0,0,2.6,1,10567,20,41,739.3
25,0,0,3.08,1,95677,21,38,987.31
26,0,0,2.73,1,8840,12,32,1012.02
27,0,0,2.49,1,32822,15,46,868.04
28,0,0,2.52,1,2191,11,24,858.61
29,0,0,2.58,1,35674,12,27,941
30,0,0,3.19,1,32205,16,39,926.02
31,0,0,2.44,1,33325,10,31,1013.71
32,0,0,2.83,1,58078,18,32,904.32
33,0,0,2.64,1,48105,19,32,1030.26
34,0,0,2.76,1,14617,15,34,821.64
35,0,0,2.59,1,80231,17,43,566.5
36,0,0,2.94,1,32822,22,26,636.92
37,0,0,3.96,1,78046,13,17,1107.75
38,0,0,3.66,1,90270,16,20,724.58
39,0,0,3.02,1,21228,24,28,625.7
40,0,0,2.48,1,61275,6,31,780.11
41,0,0,4.03,1,49643,9,36,0
42,0,0,2.7,1,21502,21,35,942.12
43,0,0,2.53,1,78748,15,40,1084.12
44,0,0,2.44,1,33023,10,29,1025.68
45,0,0,2.51,1,11040,21,34,892.19
46,0,0,2.5,1,78413,15,45,1030.53
47,0,0,2.6,1,19118,17,44,1273.82
48,0,0,2.78,1,23838,13,25,951.85
49,0,0,2.55,1,44067,11,37,1023.92
50,0,0,2.56,1,70582,14,42,1233.25
51,0,0,2.55,1,90254,13,42,590.84
52,0,0,2.55,1,12550,17,43,1159.65
53,0,0,2.71,1,94591,14,30,984.62
54,0,0,2.62,1,75460,10,26,969.87
55,0,0,2.53,1,53207,19,43,870.36
56,0,0,3.78,1,85390,10,37,981.63
57,0,0,2.5,1,33615,26,34,657.34
58,0,0,2.69,1,90029,15,35,1018.54
59,0,0,2.52,1,27518,13,42,917.93
60,0,0,2.71,1,85719,18,32,1007.6
61,0,0,2.51,1,53548,20,39,1067.93
62,0,0,2.67,1,40228,18,30,1285.4
63,0,0,2.57,1,43616,18,38,828.02
64,0,0,2.69,1,7044,16,45,944.76
65,0,0,2.52,1,83622,22,36,909.45
66,0,0,2.75,1,75181,19,39,1038.6
67,0,0,2.79,1,60502,12,46,663.64
68,0,0,2.9,1,70570,17,36,886.11
69,0,0,2.62,1,85053,18,34,609.05
70,0,0,2.53,1,8021,23,12,931.53
71,0,0,2.46,1,85212,21,25,1001.32
72,0,0,3.1,1,8731,13,41,1043.19
73,0,0,2.5,1,28173,24,29,1304.95
74,0,0,3.86,1,23881,14,37,808.03
75,0,0,2.59,1,29170,16,18,1317.21
76,0,0,2.5,1,18252,19,46,687.23
77,0,0,2.58,1,77489,14,42,833.91
78,0,0,2.46,1,96814,21,37,1517.43
79,0,0,2.6,1,10465,14,49,1088.71
80,0,0,2.62,1,75006,16,39,895.18
81,0,0,2.66,1,91352,20,26,1224.56
82,0,0,2.48,1,8054,15,26,995.08
83,0,0,2.51,1,33433,16,28,1349.37
84,0,0,2.61,1,44405,15,48,1622.35
85,0,0,2.67,1,23462,25,34,1026.05
86,0,0,2.68,1,37087,9,37,763.19
87,0,0,2.5,1,80014,13,32,886.99
88,0,0,2.78,1,27571,21,26,825.01
89,0,0,2.61,1,52632,14,35,1220.64
90,0,0,2.56,1,7110,18,27,864.68
91,0,0,2.58,1,85053,19,20,853.42
92,0,0,2.63,1,76021,16,37,1071.27
93,0,0,2.49,1,92562,15,34,928.8
94,0,0,2.63,1,11727,19,37,775.48
95,0,0,2.67,1,30701,12,34,931.96
96,0,0,2.41,1,92104,18,45,851.81
97,0,0,2.71,1,48906,17,32,811.49
98,0,0,2.64,1,87112,18,43,835.58
99,0,0,2.6,1,49783,17,32,959.57
100,0,0,2.57,1,11222,12,27,898.62
101,1,0,2.8,1,66205,18,48,912.27
102,1,0,4.11,1,47872,8,27,977.12
103,1,0,2.71,1,11901,19,35,928.54
104,1,0,2.92,1,90022,14,38,1253.53
105,1,0,4,1,77845,11,27,929.8
106,1,0,2.62,1,46310,17,34,845.15
107,1,0,2.61,1,8690,14,40,1088.95
108,1,0,3.98,1,35803,14,29,691.64
109,1,0,2.74,1,75212,17,46,1050.91
110,1,0,2.53,1,83854,17,46,868.2
111,1,0,2.43,1,85022,16,29,1054.19
112,1,0,2.49,1,67601,17,51,922.98
113,1,0,2.64,1,2324,14,31,1107.94
114,1,0,2.53,1,62401,10,22,1009.22
115,1,0,2.75,1,91402,21,30,1062.35
116,1,0,2.61,1,43119,12,34,1177.72
117,1,0,2.58,1,67601,18,37,1338.97
118,1,0,2.47,1,68039,13,48,762.31
119,1,0,2.58,1,45331,21,29,883.4
120,1,0,2.69,1,37042,22,34,1160.57
121,1,0,2.51,1,15062,15,27,663.05
122,1,0,2.73,1,75088,8,23,1210.07
123,1,0,2.73,1,55379,22,39,889.59
124,1,0,2.63,1,60051,19,36,834.73
125,1,0,2.56,1,48838,10,38,1050.7
126,1,0,2.73,1,90044,19,27,793.54
127,1,0,2.51,1,95650,13,26,1262.81
128,1,0,2.69,1,7060,17,31,1073.17
129,1,0,2.53,1,21224,12,38,1012.15
130,1,0,2.66,1,46055,15,47,1133.6
131,1,0,2.51,1,40118,16,35,876.9
132,1,0,2.58,1,90280,16,25,817.11
133,1,0,2.77,1,21208,12,30,1143.42
134,1,0,2.48,1,18045,22,20,1096.77
135,1,0,2.79,1,70001,19,30,948.9
136,1,0,2.87,1,21043,22,32,947.62
137,1,0,2.82,1,25701,20,29,1256.59
138,1,0,2.54,1,32801,13,38,1274.04
139,1,0,2.61,1,90006,12,33,645
140,1,0,3.19,1,13211,12,30,1260.41
141,1,0,3.88,1,33460,6,43,1069
142,1,0,2.59,1,20705,15,41,1030.01
143,1,0,2.53,1,28547,16,38,1277.59
144,1,0,2.46,1,33027,14,36,799
145,1,0,2.47,1,32024,22,30,928.12
146,1,0,2.7,1,32609,11,32,714.49
147,1,0,2.55,1,80916,12,36,1438.53
148,1,0,2.59,1,11411,10,51,927.52
149,1,0,3.64,1,37771,9,38,619.53
150,1,0,3.22,1,37916,11,32,1213.7
151,1,0,2.77,1,90501,13,29,815.74
152,1,0,2.52,1,76034,16,30,906.38
153,1,0,2.61,1,96826,13,22,876.53
154,1,0,2.62,1,87144,15,41,852.26
155,1,0,2.75,1,27587,17,34,820.88
156,1,0,2.53,1,45858,11,33,732.21
157,1,0,2.49,1,91356,10,36,925.46
158,1,0,2.69,1,53186,18,37,1005.05
159,1,0,3.05,1,90303,8,34,902.88
160,1,0,2.4,1,33023,13,42,1060.57
161,1,0,2.5,1,53188,21,32,732.62
162,1,0,2.56,1,14850,16,40,1215.8
163,1,0,2.71,1,48135,19,38,999.89
164,1,0,2.53,1,48188,19,40,1201.57
165,1,0,2.57,1,19111,13,37,841.65
166,1,0,2.53,1,7107,10,30,869.52
167,1,0,2.7,1,53090,17,44,881.37
168,1,0,2.57,1,11717,13,46,714.54
169,1,0,2.43,1,32811,8,30,1052
170,1,0,2.67,1,60660,13,43,723.6
171,1,0,2.76,1,75228,17,47,644.89
172,1,0,2.87,1,8221,14,43,1020.12
173,1,0,2.53,1,76040,10,42,1135.75
174,1,0,2.67,1,76039,16,45,956.14
175,1,0,2.79,1,84044,10,37,970.65
176,1,0,2.52,1,60008,15,36,1047.21
177,1,0,2.54,1,33351,14,38,766.82
178,1,0,2.47,1,41091,21,38,865.73
179,1,0,2.54,1,12302,17,36,1136.89
180,1,0,2.71,1,33411,16,20,980.49
181,1,0,2.55,1,95973,23,36,754.84
182,1,0,2.7,1,83644,10,38,729.67
183,1,0,2.64,1,2452,12,25,932.92
184,1,0,2.49,1,80634,22,38,1187.43
185,1,0,2.81,1,60173,18,38,690.13
186,1,0,2.59,1,99218,21,39,809.98
187,1,0,2.53,1,85335,13,28,1028.1
188,1,0,2.88,1,14626,10,49,791.15
189,1,0,3.16,1,67525,16,32,1357.6
190,1,0,2.63,1,3044,14,41,921.3
191,1,0,2.49,1,32812,8,23,1069.86
192,1,0,2.45,1,92591,23,33,1059.07
193,1,0,2.57,1,6614,21,16,1192.1
194,1,0,2.5,1,11763,18,35,986.81
195,1,0,2.6,1,62960,15,47,838.22
196,1,0,2.5,1,34480,16,33,1170.66
197,1,0,2.53,1,7719,16,34,946.32
198,1,0,2.54,1,49713,19,45,820.43
199,1,0,2.65,1,60445,12,34,1028.85
200,1,0,2.44,1,32258,16,18,1004.54
1,0,0,2.95,2,37166,15,32,987.18
2,0,0,2.65,2,11692,18,34,775.95
3,0,0,2.64,2,34711,21,40,1335.88
4,0,0,2.5,2,1904,16,33,858.96
5,0,0,2.7,2,19143,21,31,1201.02
6,0,0,2.69,2,39429,11,41,867.13
7,0,0,2.51,2,70726,18,44,1041.24
8,0,0,2.6,2,35216,18,43,813.41
9,0,0,2.6,2,55104,13,31,1160.19
10,0,0,2.46,2,85027,17,39,1059.91
11,0,0,2.52,2,30019,19,31,1362.43
12,0,0,2.61,2,85043,17,41,1133.38
13,0,0,2.51,2,87113,20,33,890.41
14,0,0,2.65,2,35007,14,17,890.24
15,0,0,2.5,2,78664,13,38,925.76
